loc,pro,com,fallecidos
Torre del Bierzo,León,Castilla y León,100
El Cuervo,Sevilla,Andalucía,77
Chirivella,Valencia,Comunidad Valenciana,27
Torralba del Moral (Medinaceli),Soria,Castilla y León,17
Huesca,Huesca,Aragón,11
Juneda,Lérida,Cataluña,15
Vega de Anzo (Grado),Asturias,Asturias,12
Uharte-Arakil,Navarra,Navarra,18
Lorca,Murcia,Murcia,12
Chinchilla de Montearagón,Albacete,Castilla-La Mancha,19
Valencia,Valencia,Comunidad Valenciana,43
Castelldefels,Barcelona,Cataluña,12
A Grandeira de Angrois (Santiago de Compostela),La Coruña,Galicia,79
Adamuz,Córdoba,Andalucía,39
